,game,comment,username,confidence
68,Elden Ring,"J'avais mit précédemment la note de 15/20 en la justifiant par l'histoire quasi inexistante et le manque cruelle de suivi de quêtes. Je soutiens toujours ces deux critiques, MAIS.Après avoir refait le jeu sans rush la trame principale en passant plus de 50h sans avoir énormément avancé dans le scénario je me rend compte que le jeu a un contenu infiniment plus colossal que je ne le pensais, le nombre de terre à visiter, de donjons, sous-terrain et autres passages secret amenant souvent à des bosses c'est du jamais vu. L'exploration est TOUJOURS récompensé, que ce soit par des armes, armure invocation ou autres matériaux indispensable, c'est également le cas pour les combats de boss (qui s'élève à 80 ou plus), et contrairement à beaucoup d'autre open world on a envie d'explorer chaque recoin de la map, car tout paraît unique et utile à faire.Bref c'était déjà un très bon jeu avant, mais ça le hisse maintenant au statut de chef d'oeuvre à mes yeux.",Bad-tay,MEDIUM
69,Elden Ring,"Même si j'ai fait tous les Dark Souls, Bloodborne et Sekiro, je n'ai jamais considéré un de ces jeux comme un GOTY.
Ils sont tous cool mais j'en ai trouvé aucun d'exceptionnel.
Là avec Elden Ring je suis tombé sur le cul.
Honnêtement ils ont porté le concept à son top, avec un open world très bien construit et qui nous happe en quelques minutes et pour des centaines d'heures.
Ce qui pour moi fait vraiment la différence avec les autres Soulsborne ce sont les builds et surtout la possibilité d'en changer en cours de jeu même sans respec.
J'étais partit BattleMage car d'habitude je joue toujours un build force, après 15h de jeu j'en ai eu marre, je suis passé avec double katana, oui tout les trucs pété, et après 30h de jeu je suis allé sur un build force.
Au final j'ai un perso qui joue avec deux Claymore et qui a 60 en Int, c'est n'importe quoi mais ça marche.
Changer de build permet aussi de redescendre virtuellement en niveau pour retourner faire les zones qu'on aurait ""oublié"" et où les ennemis ne sont plus assez puissants pour notre build principal.
Franchement je pense qu'Elden Ring va non seulement être le GOTY mais peut être le meilleur jeu auquel j'ai joué depuis 3 ans.
J'enlève 1pt car sur PC il y a quand même des gros problème d'optimisation. C'est rageant d'avoir une 3080 et d'avoir des grosses chutes de fps.
Après ça ne gâche pas tout le jeu et 98% du temps il tourne bien en ultra et en 4k.",Pentaro,MEDIUM
70,Elden Ring,"20/20 pour contrer les troll de 0/20 honnêtement fan de la série souls depuis demon's souls j'étais mitigé quand à l'arrive d'un open world mais c'est très réussi et très intuitif contrairement à se que l'on peut penser la map est immense et il faudrait une 100aine d'heure pour tout faire à mon avis pour le reste DA et OST toujours aussi bonne malgré le recyclage d'asset plusieurs nouveautés comme les cendre de guerre, les runes majeures... font que ce n'est pas dérangeant au contraire, un très grand nombre de bosses et de zones annexes un système de craft simple et claire en bref le meilleurs de souls et de loin!",raliazi,MEDIUM
71,Elden Ring,"Avis après 15 heures de jeu :
Ce jeu est l'aboutissement du travail titanesque de FromS, un chef d'œuvre
Les personnes qui descendent le jeu n'ont rien compris à la vision du jeu, ou alors ragent de mourir sur les premiers boss, au choix. On est sur du FromS, leurs jeux sortent du lot justement car ils arrivent à créer un lore sans mettre des pnj partout et quête fedex à gogo, n'en déplaise aux rageux.Je mets 19/20 car je ne suis pas adepte des 20/20, cette note signifie qu'il n'y a aucun défaut, alors qu'il y en aura toujours, forcément
Le plus gros défaut d'Elden ring pour moi serait le problème de chute de Fps, mais ils corrigeront vite le problèmeLa DA est sublime, la map énorme et magnifique... La difficulté est présente mais adaptée pour les novices, certaines parties de la map sera plus difficile pour quelqu'un qui débute que pour quelqu'un qui maîtrise la série des Souls",fardkin,MEDIUM
72,Elden Ring,"Si vous avez aimé les soûls foncé, et ne vous fier pas aux avis de petit rageux qui viennent jusqu'à comparé le jeu avec horizon forbidden west... ou pire dire qu'il est moche alors que beaucoup on dit tout à fait le contraire pour demon soul  la on leur offre mieux et ça ose mettre zéro... le jeu est loin d'être vide, je suis à 130h et je suis loin d'en avoir fait le tour, mon meilleur jeu pour cette année 2022, le goty 2022 c'est elden ring, n'en déplaise au fanboys hâters.",Antiprosmn,MEDIUM
73,Elden Ring,"les rageux qui mettent 0 car on leur a vendu elden ring comme un jeu + facil mais qui sont bloqué au première obstacle...
une dinguerie le jeu.
j'aurai mis 17/20 mais pour contré les jean  Kévin je suis obligé de lui mettre la note la plus haute.",all4youkwagana,MEDIUM
74,Elden Ring,"J'en suis a 30 heures et je peut clamer haut et fort que c'est le meilleur open world qui m'est été donné de parcourir.
Je faisais parti des sceptiques a l'idée d'adapter le level design étriqué des souls et c'est un pari réussi.
Une verticalité qui n'a d'égale dans sa conception, un monde ouvert ou chaque combat a été pensé pour vous cloisoné entre vous et le mob en question malgré une liberté incroyable.
Techniquement c'est d'une splendeur incroyable, les souls avaient besoin d'un petit lifting et c'est chose réussi avec brio. Suffit de se tenir en hauteur pour prendre des baffes avec des panoramas incroyable.
Les boss ont tous un gameplay au poil et maitrisé, ya 20 ans d'expertise de souls derrière et ca se ressent.
Une difficulté qui aurait pu être parfaite... sans les invocations qui casualisent beaucoup TROP le jeu.
Mais bon on peut refuser de s'en servir, puis c'est pas comme si la magie existé depuis demon souls si on veut parler de casualisation. Disons que c'est une alternative qui plaira au plus grand nombre.En revanche ceux qui mettent 10 et moins sans y avoir jouer, contribuant a cette mode du review bombing, vous faites drôlement pitié.",SanOuAvecGoku,MEDIUM
75,Elden Ring,"Franchement je suis agréablement surprit par se jeux l’exploration et très addictive ! La difficulté raisonable.
 Moi qui avais tenter plusieurs fois darksool blood born etc et qui avais toujours abandonné aux bout  d’une heur.
La je suis a une 15 ene d’heur niveaux 20 et j’adore !",kayzorx,MEDIUM
76,Elden Ring,"Je cherche des points négatifs mais pour mon expérience j'en trouve pas beaucoup.. J'ai même pas envie de chercher la petite bête. A mon niveau c'est parfait ! J'ai passé 130H de nolifitude sur une première run et ce jeu est juste incroyable. Il reprends le meilleur des Souls et propose une liberté d'exploration qui donne vraiment envie d'avancer. Les zones facultatives sont aussi cool à visiter que les zones principales. Il y a toujours quelque chose d’intéressant à faire. J'ai hâte de faire les DLC. Le seul point que je retire c'est pour l'équilibrage de certains sorts.. Je trouve cool que ca aide les plus frileux à avancer dans le jeu mais quand je vois des streamers se prendre pour des guerriers et affirmer prendre du plaisir à faire un rayon de magie qui one shot un boss plein de paternes... Je m' interroge. Après chacun se donne la conscience qu'il veut sur l'expérience et le plaisir qu'il trouve dans sa game.
Pour le moment c'est probablement mon goty.",_URIEL_,MEDIUM
77,Elden Ring,"Chef d'oeuvre, et l'optimisation fonctionne très bien chez moi bref. Je remonte la note vu que j'ai aucun problème a signalé sur ce jeux  Une ambiance a la hauteur, les bosse sont difficile, et differents, bref du bonheur",Worz_wz,MEDIUM
78,Elden Ring,"J'en suis a 30 heures et je peut clamer haut et fort que c'est le meilleur open world qui m'est été donné de parcourir.
Je faisais parti des sceptiques a l'idée d'adapter le level design étriqué des souls et c'est un pari réussi.
Une verticalité qui n'a d'égale dans sa conception, un monde ouvert ou chaque combat a été pensé pour vous cloisoné entre vous et le mob en question malgré une liberté incroyable.
Techniquement c'est d'une splendeur incroyable, les souls avaient besoin d'un petit lifting et c'est chose réussi avec brio. Suffit de se tenir en hauteur pour prendre des baffes avec des panoramas incroyable.
Les boss ont tous un gameplay au poil et maitrisé, ya 20 ans d'expertise de souls derrière et ca se ressent.
Une difficulté qui aurait pu être parfaite... sans les invocations qui casualisent beaucoup TROP le jeu.
Mais bon on peut refuser de s'en servir, puis c'est pas comme si la magie existé depuis demon souls si on veut parler de casualisation. Disons que c'est une alternative qui plaira au plus grand nombre.En revanche ceux qui mettent 10 et moins sans y avoir jouer, contribuant a cette mode du review bombing, vous faites drôlement pitié.",SanOuAvecGoku,MEDIUM
79,Elden Ring,Goty je mettrai 21/20 quand ils auront stabiliser le frame rate en dépit de la bonne volonté des devs par contre sur pc la note est freeze sur 20 avec ma 3080 Ryzen 9 5980hx 32gb du grand amateurisme,FluxXxiiuM,MEDIUM
80,Elden Ring,"C'est simple : Que l'on aime ou pas la série des Souls et que l'on adhère ou non au gameplay de ces derniers, quantitativement ET qualitativement, Elden Ring, c'est indéniable, détrône absolument TOUS les jeux vidéo des dix dernières années. Le dernier jeu en date pour lequel j'ai eu une expérience similaire s'appelle TES : Skyrim.Quelques bugs à signaler, mais rien de bloquant, en tout cas pas de mon côté (ma config joue probablement aussi...). En grand fan des Souls, et des RPG en OW de façon plus globale, je suis en admiration et en adoration pour l'Entre-Terre et tout se qui s'y raccorde.Merci FS pour ce dépaysement.GOTY 2022, à n'en pas douter.",Cynesis,MEDIUM
81,Elden Ring,50 h de jeu j'ai même pas fait les 3/4 du jeu. Et ça après avoir vaincu un seul demi dieu par contre plein de boss . Faut arrêter de délirer avc les 17 ou 18 voir au dessous.. le jeu est hallucinant. Tellement de choix possibles. Sinon oui il ya un peu de recyclage sur les enenmis. Mais perso je m en fiche ils ont tellement d enenmis différents sur tous leurs jeux on peut bien arrêter de dénigrer ce détail. Après.. son seul défaut c est que ce monde libre bah du coup il est mais tellement plus facile. C est ça qui est dommage. Mais le jeu est vraiment immense.et je suis sur que beaucoup de testeurs n ont pas pu tout voir . Impossible de finir ce jeu en 60 h. Faut être passé à côté de tellement de boss et de régions encore.,Yoshimitsu9,MEDIUM
82,Elden Ring,"70h de jeu. Pas fini. Génialissime. 20/20 juste car je trouve honteux que Horizon 2 et sa carte bourrée d'icônes et son open world gps prenne 19/20 alors que Elden Ring, qui ECRASE même BotW, prenne seulement 18.En même temps, on est sur un site qui met 18 à BF2042 après un essai réalisé chez le développeur... Tout est dit.",mercurexi,MEDIUM
83,Elden Ring,"Son seul point négatif est qu'il soit trop punitif mais aussi non foncé. Il deviendra aussi culte que Skyrim et the witcher
Point positif :
Le graphisme
Le monde ouvert
Le calme car oui sa a beau être un souls mais le calme est apreciable.
La mécanique
Les paysages
Les monstres",Symbabay,MEDIUM
84,Elden Ring,"Après plus de 200h au compteur + platine obtenu :Points positifs : -La DA ! toujours aussi somptueuse.
-Les musiques !
-La map !! gigantesque !!!
-Le contenu, tout bonnement énorme ! on a l'impression par moment que c'est sans fin !
-Les armes/armures/magies ! une sacré panoplie ! de quoi faire un tas de build !
-La difficulté, toujours omniprésente
-Les donjons
-Les panoramas... à faire baver !! voir des gros châteaux au loin et se dire qu'on peut aller dedans... !!!
-Le bestiaire lui aussi est au rendez-vous.
-Les mises en scène des boss... dantesque ! Vraiment épique !
-Le fait de pouvoir sauter, ça change beaucoup de choses ! tellement mais TELLEMENT pratique !!
-Torrent !Points négatifs : -Le seul et unique point négatif pour moi, c'est de rencontrer plusieurs fois le même boss  (Deux fois pour certains) ! (peut-être un manque d'inspiration vers la fin du développement ?) Mais malgré ça, le contenu est tellement énorme qu'on arrive tout de même à passer outre ce détail qui n'est en rien perturbant.19/20 amplement mérité !",Liliin,MEDIUM
85,Elden Ring,"Maintenant que les ouin ouin pc ont eu leur patch, ils ne devraient plus mettre de 0 ? Après j'oubliais que c'était jeuxvideo.com donc il a le public qu'il mérite. La note est parce que le jeu le mérite. Point.
Les frustrés qui bandent leur 0 devraient penser à bander autre chose, touché ?",druidune57400,MEDIUM
86,Elden Ring,"Un seul mot incroyable. Le jeu est immense, la durabilité du temps de jeu est aussi interessante. Plus de 100 heures et +.  Il y a tellement je chose à faire, il y a énormément de boss, cavernes, élément à découvrir/explorer, avec la notion temporelle ceci s'ajoute.Oui, il y a  quelques bugs.
ex. tu arrives contre un boss, il y a la moitié de vie de perdu. Oui, tu peux frapper un ennemi a traver un mur. Oui il y a un mur imaginaire pour un ennemi. Mais somme tout, c'est un jeu qui vaut la peine.Seul bémol est la réutilisation de boss qui se répete parfois dans les cavernes. bravo.",MainRapide,MEDIUM
87,Elden Ring,"J'en suis a 30 heures et je peut clamer haut et fort que c'est le meilleur open world qui m'est été donné de parcourir.
Je faisais parti des sceptiques a l'idée d'adapter le level design étriqué des souls et c'est un pari réussi.
Une verticalité qui n'a d'égale dans sa conception, un monde ouvert ou chaque combat a été pensé pour vous cloisoné entre vous et le mob en question malgré une liberté incroyable.
Techniquement c'est d'une splendeur incroyable, les souls avaient besoin d'un petit lifting et c'est chose réussi avec brio. Suffit de se tenir en hauteur pour prendre des baffes avec des panoramas incroyable.
Les boss ont tous un gameplay au poil et maitrisé, ya 20 ans d'expertise de souls derrière et ca se ressent.
Une difficulté qui aurait pu être parfaite... sans les invocations qui casualisent beaucoup TROP le jeu.
Mais bon on peut refuser de s'en servir, puis c'est pas comme si la magie existé depuis demon souls si on veut parler de casualisation. Disons que c'est une alternative qui plaira au plus grand nombre.En revanche ceux qui mettent 10 et moins sans y avoir jouer, contribuant a cette mode du review bombing, vous faites drôlement pitié.",SanOuAvecGoku,MEDIUM
88,Gran Turismo 7,"Graphique somptueux, conduite parfait, effet de lunière incroyable. On voit bien que le roi est de retour, n’en déplaise aux frustré de need for horizon 5 qui n’on pas jouer et qui donne zéro le jour de la sortie! Un must have!",JmenBasLeC,MEDIUM
89,Gran Turismo 7,"Est ce normal que des hater pro M  (JNPS_31,4kwanted,bilippe1) et j'en passe ce permet de noter un jeu auquel ils n'ont pas joué,ni de PS5 au passage?...donc comme j'ai vu la lambo devant micromania et que je trouve ça top,je met un 20...normal,et merci sony",JVC-les_Vendus,MEDIUM
90,Gran Turismo 7,"13 sur 20 par la communauté, pourtant on à ici un jeux sérieux solide et qui respecte les passionnés de voitures.
Ok gt7 n'est plus le port- étendard de la simulation de voitures par excellence, comme il l'était a une époque.
C'est pas une révolution graphique ou même niveaux sensation.
Mais honnêtement le jeux fait plus que le taff, un 16 ou 17 c'est pas volé mais voilla comme certains sous côte car le jeux n'est pas pensé comme eux l'on pensé ou par mauvaise foies simple ou se retrouve avec des exclus sony basher. Last of us, horizon, gt7 franchement c'est triste de chier sur un travail de qualité. Jusqu'à quand seigneur, jusqu'à quand.",Kounic89,MEDIUM
91,Gran Turismo 7,"0 - 5 /20 c'est une blague ? Même pour un mauvais jeu alors je remonte la note.
Ce jeu est simulation bien mieux que l'arcade. La notable différence de GT c'est la conduite qui diffère sur le bitume ou le sable.",BALAVOBO,MEDIUM
92,Gran Turismo 7,"Tres bon jeu, complet, beau, fluide, avec un bon ""sound design"".
L'IA peut paraitre faible au debut, mais lorsque l'on commence a progresser et monter en level, l'IA s'annonce bien meilleur. Alors c'est sur si on donne son avis apres 5h de jeu on dit que l'IA est mauvaise, c'est FAUX.
Les graphismes, c'est pas encore du FULL CURRENT GEN malheureusement, mais franchement ca tue quand meme. Bien plus jolie que Forza 7, et sur youtube il y a plein de videos comparatif pour s'en rendre compte.",thebossu86,MEDIUM
93,Lost Ark,"Y déboite se jeu , et il a bien kill Diallo et part of exil .
La communauté et assez hétérogène , on trouve de tout du pedobear jusqu’au mec simpas .
Niveau gameplay rien de révolutionnaire mais c’est bien fichu,
Après avoir vomi god of war c’est un bon compromis",NaviguerTaMere,MEDIUM
94,Lost Ark,Excellent jeu n'en déplaise aux mecs qui ragent parce qu'ils restent 4h en file d'attente,blablatoc,MEDIUM
95,LEGO Star Wars : La Saga Skywalker,"Pour contrebalancer ce 0 digne d'un enfant de 5 ans.
Ma vrai note est 15. +Sympa, agréable pas répétitif.
+ Ambiance au top
+ Novice etc, seront bien accueillis.
+ Gameplay bien pensé et fluide.
+ C'est un jeu ""cool"" sans prise de tête avec une bonne durée de vie
+ Esthétiquement très beau.- Quelques niveau recopié?
- Il en a sous le pied ! mais peut-être qu'ils en gardent pour d'autres",Nexit44,MEDIUM
96,Horizon : Forbidden West,"Les meilleurs graphismes de sa catégorie, un gameplay très fluide et une belle narration. J'ai adoré le fait que vous puissiez vous concentrer sur la mêlée ou opter pour l'infiltration (qui était un peu sous-exploitée dans Zero Dawn). N'a rencontré aucun bug pour le moment en une trentaine d'heure. Les quêtes secondaires sont désormais plus intéressantes avec une bonne écriture et mise en scène (le up est flagrant par rapport à Zero Dawn).",Ringthing,MEDIUM
97,Horizon : Forbidden West,"J'adore ce jeu !
Le premier était bien mais cette suite est géniale.
Le dialogue dans HZD n'était pas très bon mais cela a été beaucoup amélioré.
Le combat est excellent et la variété des machines est plus grande et meilleure.
La map à gagné en verticalité.
Triste de voir tous les bombardements de critiques des fans Xbox, mais je suppose qu'ils n'ont aucun jeu à jouer, alors utilisez leur temps pour essayer de détruire le travail acharné des studios, très triste.
S'il vous plaît, donnez une chance à ce jeu parce que vous vous rendez un mauvais service si vous ne le faites pas à cause de personnes malveillantes qui lui donnent un zéro sur 20 simplement parce que c'est une exclusivité PlayStation",Familiartoken,MEDIUM
98,Horizon : Forbidden West,"ayant adorer le première opus , forcément il me le fallait .
et une chose est sur , il depasse le première opus sur tous les points , visuellement il est tout simplement incroyable, c'est fluide , les combats sont bien plus poussé,  le scénario j'adore,la bande sonore incroyable  je pourrais pester sur certains problèmes techniques,  comme certains popping assez grossier ,quelque bug ou problèmes de collision mais quand je vois la qualité du jeu global , franchement je ne chipote pas .
j'espère malgré tout des correctif pour certains bug dont un ou j'étais complètement bloquer pour avancer  . pour remedier au bug j'ai du charger ma partie
bref ! malgré quelque imperfection ce jeu est bombe",bufo666,MEDIUM
99,Horizon : Forbidden West,"Une claque magistrale , un jeu sublime et un gameplay impeccable !
La seule chose négative c’est qu’il ne soit pas sur Xbox pour qu’ils puisse voir un vrai jeu.",Xstarplatinumx,MEDIUM
100,Horizon : Forbidden West,"HZFW est un chef-d'œuvre graphique... la quantité de détails dans chaque partie du jeu est stupéfiante. Le lancer de rayons, les marques que vous faites dans le sable et la différence d'éclairage lorsque le soleil reflète le sable humide, les gouttes de sueur lorsqu'il fait chaud, l'armure gelée lorsqu'il fait froid, l'herbe qui bouge autour de vos pieds lorsque vous bougez... juste un aperçu des détails et de l'amour qui sont entrés dans ce jeu. Sans parler de la qualité folle des textures et des actifs + des vitesses de chargement folles.L'histoire est certes longue mais c'est un voyage... si vous n'avez pas la patience passez à autre chose. J'apprécie le développement du personnage et les relations et aussi en faisant des quêtes secondaires, vous pouvez influencer le dialogue dans l'histoire principale, ce qui est cool.Le combat est également très bon, un peu plus difficile que la première itération, ce qui est une bonne chose, mais il y a beaucoup d'améliorations de la qualité de vie qui ont du sens.Combiné avec les déclencheurs adaptatifs et la conception sonore, c'est de loin l'un des jeux les plus époustouflants, les plus complets et les mieux construits de notre époque. Le seul jeu qui pourrait le battre est God of War.Je reste mon cas et à vous tous les trolls... arrêtez juste avec le bombardement des critiques... Nous sommes une communauté et nous devrions laisser la politique et la colère de côté et être plus gentils les uns envers les autres.",fan2foirza,MEDIUM
101,Horizon : Forbidden West,"Sony frappe une nouvelle fois tres fort et reduit la concurence en bouillit. Ce nouveau volet de Horizon,  dont le 1er est déjà un classic, bonifie la formule.
Plus riche, généreux, vaste et beau, la ps5 montre de quoi elle est capable tandis que la console n en est qu a ses début.Du lourd de la part de Sony 1 peu plus d un an apres la sortie de sa console.",I_hate_myself,MEDIUM
102,Horizon : Forbidden West,"Obligé de mettre un 20 pour rattraper la note pitoyable des trolls, des ahuris et des pro-guerre-des-consoles.
Après, très sincèrement et plutôt objectivement, c'est un jeu de qualité (sur ps5 en tout cas), qui devrait se situer entre 15... et 20, justement.
-Gameplay paufiné, quelques imprécisions persistent cependant
-Histoire aussi prenante que le 1, hâte d'en découvrir plus sur l'histoire principale, mais on se perds vite dans les quêtes secondaires tellement le jeu est vivant (sur 13h de jeu j'en ai fait 7h uniquement en exploration/quêtes secondaires)
-Bugs quasi inexistants pour un jeu qui n'a même pas encore de patch hormis le D-One
-Graphismes incroyables, pour ne pas dire l'Open-World le mieux fait à ce jour
- Ambiance sonore au poil, hormis certains mixages douteux (parfois le volume des voix diffèrent d'une ligne de dialogue à l'autre). En revanche, les expressions des personnages et la synchro labiale sont parfaites !Ce n'est pas un jeu qui révolutionne le genre Open-World, et qui bien-sûr (c'est Horizon 2, c'est une suite, c'est logique) ne change pas sa recette, qui fonctionnait sur le 1.Donc forcément oui, c'est un peu répétitif par moment, oui c'est les mêmes perso la plupart du temps, mais le design global du jeu et son scénario fonctionnent et condensent largement.Bref, foncez, ne tenez pas compte des mauvaises notes, vraiment !",Darksilverclem,MEDIUM
103,Horizon : Forbidden West,"Quelle Claque !
Guerrilla qui régale enncore une fois et qui montre a la concurrence comment on fait un open world, (cc Halo ).
Ce Horizon 2 est exceptionnel en tout point.Et comme fallait s’y attendre, beaucoup de rageux qui n’ont même pas la console viennent mettre des 0, des 2 etc pathétique",Maximouce,MEDIUM
104,Horizon : Forbidden West,"Ayant apprécié le premier à sa sortie en 2017 sur PS4 et refait sur PC il y a quelques mois, il est normal de me lancer dans ce deuxième opus et faire chauffer ma PS5. Que dire de ce jeu à part ""enfin !"", c'est simple Guerilla coche enfin toutes les cases qu'il manquait à zero dawn, une liberté accru, des quêtes plus intéressante, un monde dense et organique qui vit au delà de notre héroïne, une histoire complexe et bien ficelée, des graphismes à couper le souffle pour un open world sur console de salon (jeu de lumière, texture, distance d'affichage, finesse des expressions et visage bluffant !, je précise que je joue sur une télé OLED de dernière génération en mode résolution), on pourra regretter cependant un aliasing assez présent avec un flou trop prononcé en mode performance, un manque diversité au niveau des armes par rapport au premier...à part ça, vous pouvez y aller les yeux fermés si vous avez apprécié le 1, si ce n'est pas le cas, que faites vous en train de me lire ! FONCEZ !",deliyafx,MEDIUM
105,Horizon : Forbidden West,"J'ai attendu ce jeu comme une folle, ayant adoré le premier.
Nous retrouvons notre petite Aloy dans l'ouest, la map est immense!!, le gameplay reste le même, mais nouvelles machines, armures, armes...il y a de quoi faire, entre activité, quête annexe, secret...
C'est l'un des plus beau ow que j'ai vue.Pourquoi 19? L'escalade qui est une purge comme le premier.",Sekhmet-86,MEDIUM
106,Horizon : Forbidden West,"quelle claque visuelle que ce jeux met à tout les jeux vidéo sortie jusqu'à présent, que ce soit l'histoire ou les quêtes annexes, ya que les les petit rageux pro parpaing series X ou Master race pc 4k avec un écran de 40 cm qui donne des notes de 0/20 . Le cancer de se monde, ça se sent puissant derrière sont ecran.",blackgoku2020,MEDIUM
107,Horizon : Forbidden West,"Super jeu, évidemment je débarque on voit les mêmes pro-xbox venir mettre des 0  alors qu'ils ont pas le jeu. Sinon Graphismes au top, le monde ouvert est incroyable. On est face à un jeu de qualité, rien à redire là dessus. La qualité, c'est chez Sony",CODFirst,MEDIUM
108,Horizon : Forbidden West,"Je mets 20 tout simplement parce que le 1 est l'un de mes jeux préférés (pour ne pas dire mon préféré), et que c'est carrément le seul jeu ps4 que j'ai platinés et obtenu 100% des trophées.Pourquoi je parle du 1? Tout simplement car ce jeu reprend tous les éléments du premier jeu, en les améliorants. Les combats au corps à corps sont 10x plus dynamiques et amusants. On peut transporter plus d'armes et elles sont plus variées, il y'a plus de machines, on peut transporter plus de ressources, l'amélioration de l'équipement a été poussé à fond, les arbres de compétences aussi ect...Ce jeu est une suite direct du premier et nous permet de connaitre la suite de l'histoire et de combattre pleins de nouvelles machines, plus forte, plus agile et mieux animées. Certains disent que c'est un Horizon 1.5. Dans ma bouche ce n'est pas une insulte.",KikooJapAuMiel,MEDIUM
109,Horizon : Forbidden West,"Ça faisait longtemps que je n'avais pas lancé un jeu en me disant ce que c'est un grand jeu, certes les visuels y participent beaucoup, néanmoins la musique, les micro-animations, les détails des costumes, la lumière (C'est vraiment bluffant on dirait du CGI à chaque cinématique.) Bref, je soupçonne tous ceux qui mettent un avis négatif de ne pas avoir le jeu sur PS5 car sur cette version, avec un peu de recul, impossible de mettre une mauvaise note, ce jeu est le nouvel étalon de l'open world. Bravo aux équipes de développement. Je pense qu'il y a peut être à redire sur les choix de game design, systémiques du jeu (ce n'est ni totalement un RPG, ni un simple jeu d'action, Oscillant entre plusieurs genres : AC, Monster Hunter, The Witcher 3 ...). Mais c'est un parti pris et je n'ai pas la prétention de dire aux équipes qu'est ce qui serrait mieux car chaque choix de design est compréhensible. Donc encore une fois Bravo !",z_one,MEDIUM
110,Horizon : Forbidden West,"Un petit 20 pour contrer les 0 des haineux bobox
Note réelle 18, pour l'instant je me régale, quelques bug par ci par là mais rien de rédhibitoire!Bréf buvez de l'eau les pro M ca vous fera pas de mal!",heyyou130,MEDIUM
111,Horizon : Forbidden West,"Je mets 20 , car ce jeu est magnifique  et beaucoup plus abouti que le premier . La narration est beaucoup plus interessante . Sur PS5 il est vraiment beau et les combats notamment des premiers boss est sont vraiment bien faits .
Et puis 20 aussi pour remonter le note mise en berne par les haineux qui pullulent sur ce site",krono69,MEDIUM
112,Horizon : Forbidden West,Très proche de l excellence mais il faut revoir le combat au corps à corps car il est inutile casiment en tt cas en difficile. Les graphisme sur ps5 sont juste incroyable mais pour moi le eux n aurai pas du sortir sur ps4,TheTHIB1,MEDIUM
113,Horizon : Forbidden West,"Juste mettre un 20 pour remonter la note des fanboys Microsoft et Nintendo qui mettent des 2.
Arrêtez d'être extrémiste d'une plateforme et profitez de toutes les exclus.",WhatIsThisPliz,MEDIUM
114,Horizon : Forbidden West,"Horizon interdit à l'ouest est une classe de maître d'une suite. il s'étend sur les fondations construites à l'aube zéro, il corrige bon nombre de ses lacunes. Les plus grandes forces de Forbidden West sont les graphismes et le système de combat étendu. Le monde de ce jeu est tout aussi menaçant que magnifique. Chaque pas que vous faites peut vous mener à une scène remplie d'émerveillement ou vous voir combattre des hordes de machines. Le seul défaut de ce jeu en dehors de quelques problèmes audio pourrait être simplement le nombre de choses à faire, ce qui est une bonne chose pour moi ou pour quelqu'un qui connaît les jeux en monde ouvert, mais pour quelqu'un de nouveau dans le genre ou de nouveau dans le jeu. peut être intimidant. Même avec ses défauts, je donne toujours à ce jeu un 10 parce que les développeurs ont fait quelque chose d'incroyable ici et devraient en être très fiers.",uneRosePourAloy,MEDIUM
115,Horizon : Forbidden West,"Vraiment très bon, très complet. Une ôde à l'aventure. Ne vous laissez pas influencer par le bashing des troll pro-microsoft qui ont tout fait pour faire baisser la note, vert de jalousie de ne pas pouvoir jouer à cette exclu.",BicheKlub,MEDIUM
116,Horizon : Forbidden West,"Jeu acheté mais je n'y ai pas encore joué, je veux finir avant le 1er que j'avais très vite zappé sur ma PS4 Fat (je venais de finir BOTW et je trouvais le gameplay de Zero Dawn trop rigide). Du coup avant la sortie de Forbidden West et après l'achat de ma PS5 j'ai remis les mains sur ce jeu et je prend mon pied! Vivement la fin pour attaquer FW",bleep,MEDIUM
117,Horizon : Forbidden West,"Le jeu est grandiose ! En toute transparence je ne l’ai pas finit, je dois être à 13h de jeu.
Mais quelle claque.
Graphiquement magnifique et hyper soigné.
Une ambiance et une DA a couper le souffle.
Des combats exigent et très dynamique.
Et le détail des textures et des visages des personnages est juste Woaah.
Enfin quelques soucis de poping vraiment mineur, ça m’a pas cassé l’ambiance du jeu loin de là, mais récompenser par une distance d’affichage extrêmement élevé.
Ne vous fiez pas au gens qui mettent en dessous de 5 voir même de 10, je pense que ce sont des frustré qui n’ont rien d’autre à faire que de descendre un jeu qui ne mérite rien d’autre sauf des acclamations.",tristangdf,MEDIUM
118,Horizon : Forbidden West,"Je mets 20 tout simplement parce que le 1 est l'un de mes jeux préférés (pour ne pas dire mon préféré), et que c'est carrément le seul jeu ps4 que j'ai platinés et obtenu 100% des trophées.Pourquoi je parle du 1? Tout simplement car ce jeu reprend tous les éléments du premier jeu, en les améliorants.Les combats au corps à corps sont 10x plus dynamiques et amusants. On peut transporter plus d'armes et elles sont plus variées, il y'a plus de machines, on peut transporter plus de ressources, l'amélioration de l'équipement a été poussé à fond, les arbres de compétences aussi ect...Ce jeu est une suite direct du premier et nous permet de connaitre la suite de l'histoire et de combattre pleins de nouvelles machines, plus forte, plus agile et mieux animées.Certains disent que c'est un Horizon 1.5. Dans ma bouche ce n'est pas une insulte.",laSONYquoility,MEDIUM
