,game,platform,comment,username,grade,comment_normalized,compound_vader
5790,Star Wars : Battlefront II,PC,"EA désactive les micros transactions et personne ne modifie sa note ?
Bien l'hypocrisie générale ?
Bien le professionalisme journalistique chez Webedia ?je changerai ma note quand vous aurez changé la votre.",pouette7,19,désactive micros transaction personne modifie note bien lhypocrisie générale bien professionalisme journalistique chez webedia changerai note quand changé,0.1027
5799,Star Wars : Battlefront II,PC,"Après avoir lu la centaine de bashing complètement obsolète sur ce jeu je me permet de donner mon avis ( je dois certainement être un des rare à avoir dépassé les 10h de multi )OUI IL Y A DES MICRO TRANSACTIONS.Je ne vois pas ou est le problème car EA est loin d'être les premiers a utiliser ce système.La campagne inédite est excellente avec une histoire qui tiens debout, des personnages attachants, une durée de vie d'environ 5 heures ( dans la moyenne des FPS ) .Les graphismes époustouflants, des bruitages immersif, les maps fidèle a l'univers Star Wars. Un bon choix d'armes et de compétences Venons en au faite ou apparemment il y a du PAY TO WIN en multi via les micro transactions.Deja il faut se renseigner et jouer un minimum pour diffamer de la sorte .Le système d'xp en multi se base sur des cartes a débloquer sur les classes les héros et les vaisseaux .La monnaie in-game ( crédits ) s'obtiens en remplissant toute sorte de défis dans le jeu aussi bien en mode solo qu'en multi et en fin de partie multi ( oscillant de 150 pour une partie rapide / mauvaise du joueur a 450 bonne partie / assez longue environ 20 minutes ) .Le cas des cartes d'améliorations : ces cartes permettent de changer les compétences d'un soldat ( changer le pistolet radar par un heal personnel par exemple ) ou une amélioration passive ( regénération de santé plus rapide, permet de recharger l'arme via un headshot etc ... ) .Un outil vraiment interessant pour tout ceux qui aiment personnaliser leur persos en multi qui permet de faire la différence ou non selon la situation .Il y a 4 niveaux de rareté : Blanc, vert, bleu, violet.Ces cartes s'améliorent et s'achète par la deuxième monnaie in game du jeu ( pieces de fabrication )
Ces pièces s'obtiennent en remplissant des défis ou en achetant les lootbox ( 35 a 50 par box ).Il faut savoir qu'une lootbox coute de 2100 a 4000 crédits ( finalement après réflexion la box a 2100 est bien plus rentable que les deux autres ).Sans oublier que les box deverouillent 2 a 3 cartes de rareté blanche a bleu.Une carte non débloquée coute 40 pièces ( relativement dérisoire ) il faut ensuite payer 80 pour la up en vert 120 la up en bleu et 480 ( et oui les cartes violettes se payent cher ) pour la up a fond .Une carte bleue fait deja très bien le taf peu importe la compétence choisie.Quand on réfléchis bien c'est la monnaie essentielle dans le jeu car c'est bien elle qui permet de up tout ces persos vaisseaux et soldats mais finalement c'est enfantin et surtout pas obligé de mettre la main dans le porte monnaie pour en obtenir suffisamment .Après quelques heures de jeu je me suis retrouvé avec + de 45 000 crédits juste en remplissant quelques défis et en finissant quelques parties multijoueurs .Je n'ai pas ressenti une seule fois un sentiment exagéré de PAY TO WIN quand je me fesait kill par quelqu'un qui avais une carte violette .Peu importe le niveau de la carte du joueur en face seul le skill compte finalement.Je suis agréablement surpris que ce jeu ne dispose pas de Season Pass ce système qui me dégoute peu à peu car sur utilisé ces dernières années.Ils ont plutot décidé de mettre un système de micro transactions pour les joueurs impatients ou qui n'ont tout simplement pas le temps de farm toute la journée pour être le plus compétitif possible mais ce n'est pas un PAY TO WIN, les jeux multijoueurs sont chronophage et c'est pour tous la meme chose, c'est en jouant qu'on deviens meilleur et ce jeu en est l'illustration parfaite tant dans les améliorations des persos que dans le skill ( connaissance de map des armes des héros utilsation de certains skills ... ).Un ajout de saisons, de nouvelles map,de nouvelles classes, de nouvelles cartes d'améliorations des nouveaux héros même des nouvelles missions de campagne ( et oui il l'ont fait ! ) devrais plutôt être salué que critiquer un système malheureusement démocratisé depuis plusieurs années ..Le seul bémol que je trouve sur ce magnifique jeu est parfois la difficulté qu'a le jeu a trouver une partie ou encore les bug en quittant une partie ou encore en essayant de rejoindre ces collègues en partie.Donc pour résumer, ce n'est pas parce que quelqu'un claque 1000 euros dans des box qu'il sera meilleur que toi.
Il aura juste plus de cartes ce qui ne fait pas le skill, le nombre de fois ou j'ai vu des mecs level 1 rouler sur des gars level 30 ... Arretez de suivre les critiques comme des moutons sans meme avoir joué 5 minutes et réfléchissez par vous même .( RIP aux fanboys de call of qui n'ont que leur yeux pour pleurer avec l'arrivée des lootbox sur WW2 en plus du season pass    ).",Spetz_93,20,après avoir centaine bashing complètement obsolète jeu permet donner avis doi certainement être rare avoir dépassé 10h multi oui micro transactionsje vois problème car loin dêtre premier utiliser systèmela campagne inédite excellente histoire tiens debout personnages attachants durée vie denviron heures moyenne fps graphismes époustouflants bruitages immersif map fidèle lunivers star war bon choix darmes compétences venons faite apparemment pay win multi via micro transactionsdeja faut renseigner jouer minimum diffamer sorte système dxp multi base carte débloquer class héros vaisseaux monnaie ingame crédits sobtiens remplissant toute sorte défis jeu aussi bien mode solo quen multi fin partie multi oscillant 150 partie rapide mauvaise joueur 450 bonne partie assez longue environ minute carte daméliorations carte permettent changer compétences dun soldat changer pistolet radar heal personnel exemple amélioration passive regénération santé plus rapide permet recharger larme via headshot etc outil vraiment interessant tout ceux aiment personnaliser persos multi permet faire differentérence non selon situation niveaux rareté blanc vert bleu violetces carte saméliorent sachète deuxième monnaie game jeu piece fabrication pièces sobtiennent remplissant défis achetant lootbox box faut savoir quune lootbox coute 2100 4000 crédits finalement après réflexion box 2100 bien plus rentable deux autres sans oublier box deverouillent carte rareté blanche bleuune carte non débloquée coute pièces relativement dérisoire faut ensuite payer vert 120 bleu 480 oui carte violettes payent cher fond carte bleue fait deja très bien taf peu importe compétence choisiequand réfléchis bien cest monnaie essentielle jeu car cest bien permet tout persos vaisseaux soldats finalement cest enfantin surtout obligé mettre main porte monnaie obtenir suffisamment après quelques heures jeu retrouvé 000 crédits juste remplissant quelques défis finissant quelques party multijoueurs nai ressenti seule fois sentiment exagéré pay win quand fesait kill quelquun carte violette peu importe niveau carte joueur face seul skill compte finalementje agréablement surpris jeu dispose season pas système dégoute peu peu car utilisé dernières annéesils plutot décidé mettre système micro transaction joueurs impatients nont tout simplement temp farm toute journée être plus compétitif possible nest pay win jeux multijoueurs chronophage cest tous meme chose cest jouant quon deviens meilleur jeu lillustration parfaite tant améliorations persos skill connaissance map armes héros utilsation certains skill ajout saisons nouvelles mapde nouvelles class nouvelles carte daméliorations nouveaux héros nouvelles mission campagne oui lont fait devrais plutôt être salué critiquer système malheureusement démocratisé depuis plusieurs années seul bémol trouve magnifique jeu parfois difficulté qua jeu trouver partie encore bug quittant partie encore essayant rejoindre collègues partiedonc résumer nest parce quelquun claque 1000 euro box quil meilleur juste plus carte fait skill nombre fois jai mecs level rouler gar level arretez suivre critique comme mouton sans meme avoir joué minute réfléchissez rip fanboys call nont yeux pleurer larrivée lootbox ww2 plus season pas,0.9919
5800,Star Wars : Battlefront II,PC,"Je le trouve très sympa. j'avais pas acheter le premier je le trouvé trop bancale au moment de la démo de 10h .
ils on corriger pas mal de défaut . je suis a 30h dessus ça suffi largement pour débloque 85% de ce qui m’intéresse dans le gameplay , pas besoin d’être en full épique ...  je comptent pas le bashing de merde autours du jeux , les micro-transac blabla ... l’excuse bidon pour rager comme des enfants . :D",Sata-BzH,19,trouve très sympa javais acheter premier trouvé trop bancale moment démo 10h corriger mal défaut 30h dessus suffi largement débloque mintéresse gameplay besoin dêtre full épique comptent bashing merde autours jeux microtransac blabla lexcuse bidon rager comme enfants,-0.7264
5801,Star Wars : Battlefront II,PC,"Je met un 20 pour remonter la moyenne.En faisant l'abstraction de la politique ignoble d'EA , Star Wars Battlefront II mérite un bon 17/20 pour ma part.
Une fidélité irréprochable , une immersion totale , on retrouve tous ce qui fait le charme de Star Wars.Le nouveau mode 20vs20 est bien pensé , nous faisant changer de décor constamment sur la même map et le gameplay est bien plus agréable que sur le 1er.Pour moi il ne manque qu'un mode conquête à 64 comme un Battlefield et le jeu vaudrait 18/20",Zachary_Hudson,20,met remonter moyenneen faisant labstraction politique ignoble dea star war battlefront mérite bon 1720 part fidélité irréprochable immersion totale retrouve tous fait charme star warsle nouveau mode 20vs20 bien pensé faisant changer décor constamment map gameplay bien plus agréable 1erpour manque quun mode conquête comme battlefield jeu vaudrait 1820,0.9407
5802,Star Wars : Battlefront II,PC,"Je met 20 pour remonter la note contre les triso de service qui mette 0 pour les micro transaction, vous etes vraiment idiot ou quoi? Il n'y a plus de season pass et on aura droit a des map gratuite et vous arrivez a vous pleindre sur un truc a la con, votre mauvaise fois est déconcertante vos point de vus ne sont en aucun cas objectif et argumenté, si vous n'aimez pas ce jeu pour ça alors vendez le et allez sur call of, le jeu avec de superbe connection avec beaucoup de map et une super communauté qui vous reflète --' de plus vous etes les premier pigeon a debourser votre fric sur ultimate team ou les points cod vous me dégoutez barrez vous du jeu",LordDeLesquen,20,met remonter note contre triso service mette micro transaction etes vraiment idiot quoi plus season pas droit map gratuite arrivez pleindre truc con mauvaise fois déconcertante point vus aucun objectif argumenté naimez jeu alors vendez allez call jeu superbe connection beaucoup map super communauté reflète plus etes premier pigeon debourser fric ultimate team point cod dégoutez barrez jeu,-0.8402
5806,Star Wars : Battlefront II,PC,"Je mets un 20 pour relever la note (mais il mérite largement un 17) car lorsque je lis les commentaires de rageux mettre un 4 en parlant de micro-transaction le 17 Novembre alors que le jeu est sorti sans, ça me laisse juste penser que le bashing mental de certains media autour de ce jeu a bien fonctionné et que ces pauvres personnes n'ont pas du tout joué au jeu.
Perso, comme je le disais sur Facebook, le jeu est propre (sur Xbox One X, c'est carrément TRES propre). Le multi est excellent (surtout quand on joue en escouade avec des potes), les DLC arrivent GRATUITEMENT... Bref, ce jeu aurait pu être une bombe si des gogols avaient pas pleuré leur mère en criant au scandale (là où bizarrement on entend rien au sujet des transactions d'un FIFA ou des voitures qu'on débloque dans un Forza 7 par exemple). Résultat de ce bashing de premier ordre, le jeu se vend mal, les serveurs peine à trouver du monde de qualité pour des parties endiablés, etc... Le pire étant que je ne comprends pas pourquoi aujourd'hui on a cherché à ce point à saboter ce jeu.
Après, il y a des défauts comme le fait de rejoindre une escouade déjà en ligne (mais où est le système de BF4 qui était rudement efficace et sincèrement une tuerie dans le genre). Idem pour les buggs de connexion ou les chargement interminables...
Mais cela n'enlève en rien les qualités du jeu et d'un solo qui reste, certes, convenu mais qui arrive quand même à nous procurer une bonne expérience.
Le mode Arcade aurait aussi pu se mettre au couleur du Online au lieu de ne favoriser uniquement qu'une experience coop en écran scindé.
Pour ma part, j'avais pas trop apprécié le premier et ce dernier a réussi à me scotcher dessus.
Reste à espérer que les joueurs se réveillent et se décide à se lancer dans ce jeu pour que cela promette des parties endiablés autour de la Force et du côté obscur.",Zesneek,20,mets relever note mérite largement car lorsque commentaires rageux mettre parlant microtransaction novembre alors jeu sorti sans laisse juste penser bashing mental certains medium autour jeu bien fonctionné pauvres personnes nont tout joué jeu perso comme disais facebook jeu propre xbox one cest carrément tres propre multi excellent surtout quand joue escouade potes dlc arrivent gratuitement bref jeu être bombe gogol pleuré mère criant scandale bizarrement entend rien sujet transaction dun fifa voitures quon débloque forza exemple résultat bashing premier ordre jeu vend mal serveurs peine trouver monde qualité party endiablés etc pire comprends pourquoi aujourdhui cherché point saboter jeu après défauts comme fait rejoindre escouade déjà ligne système bf4 rudement efficace sincèrement tuerie genre idem buggs connexion chargement interminables cela nenlève rien qualités jeu dun solo reste certes convenu arrive quand procurer bonne expérience mode arcade aussi mettre couleur online lieu favoriser uniquement quune experience coop écran scindé part javais trop apprécié premier dernier réussi scotcher dessus reste espérer joueurs réveillent décide lancer jeu cela promette party endiablés autour force côté obscur,0.9561
5807,Star Wars : Battlefront II,PC,"Le jeu ne mérite pas 20 mais quand je vois les commentaires de certains joueurs ... actuellement à 60 h de jeu et n'ayant acheté que le jeu et non des coffres avec de l'argent réel je dispose de pas mal de cartes...
je me défend très bien ""voir farm"" contre des joueurs qui ont des cartes épique ...
tous ça pour en venir au fait que ce star wars est un très bon jeu pour moi que ce soit au niveau gameplay , graphismes et autres ... j'attend avec impatience les prochains contenu gratuit mais en attendant je m'amuse sur le jeu avec pas mal de personne car oui beaucoup de ouin ouin mais il y a quand même énormément de joueurs sur ce jeu !! (5à 10 secondes pour trouver une partie)",sleonard60,20,jeu mérite quand vois commentaires certains joueurs actuellement jeu nayant acheté jeu non coffres largent réel dispose mal carte défend très bien voir farm contre joueurs carte épique tous venir fait star war très bon jeu niveau gameplay graphismes autres jattend impatience prochains contenu gratuit attendant mamuse jeu mal personne car oui beaucoup ouin ouin quand énormément joueurs jeu secondes trouver partie,0.939
5808,Star Wars : Battlefront II,PC,"Le jeu est bien mieux que le premier Opus .Les scrypts favorisent la prise d'objectifs.Le contenu entier est disponible malgré ce que disent les rageux qui chient sur le jeu sans l'avoir acheté.l'argent ne donne pas accès à tout tout de suite , et pour cause il faut à minima upper son perso et débloquer des conditions.le jeu est optimisé et très beau.+1 pour le nouveau système de classe qui évite de se retrouver avec un seul est unique archétype comme dans le premier Opus.Gros +1 , pour le système de héros ,élites et véhicules ... ils s'obtiennent dorénavant en jouant les objectifs et en tuant des ennemies , par le biais de points à dépenser .+1 pour les DLCs free , car les gens ont beau gueulé pour les micro transactions mais c'est ça qui payera les DLC.Un 20 pour les rageux qui ont besoin de revoir leur définition de P2W , car le P2W c'est l'acquisition d'un contenu uniquement obtenable par le biais d'argent réel .Aucun jeu ne peut se voir attribuer une note inférieur à 5 au vu des heures que les développeurs ont donné , et c'est pas aux développeurs de trinquer pour les éditeurs.",soltcast,20,jeu bien mieux premier opus scrypts favorisent prise dobjectifsle contenu entier disponible malgré disent rageux chient jeu sans lavoir achetélargent donne accès tout tout suite because faut minimum upper perso débloquer conditionsle jeu optimisé très beau1 nouveau système classe évite retrouver seul unique archétype comme premier opusgros système héros élites véhicules sobtiennent dorénavant jouant objectifs tuant ennemies biais point dépenser dlcs free car gen beau gueulé micro transaction cest payera dlcun rageux besoin revoir définition p2w car p2w cest lacquisition dun contenu uniquement obtenable biais dargent réel aucun jeu peut voir attribuer note inférieur heures développeurs donné cest développeurs trinquer éditeurs,0.4256
5810,Star Wars : Battlefront II,PC,"On ne va pas se démoder, encore une fois sur JV.com, la note des joueurs ne reflète pas la qualité du jeu mais l'impression générale d'une unique fonctionnalité qui sera sans doute supprimée ou complètement refondue dans les jours/semaines à venir. Encore une fois, il faut donc se battre pour contre balancer les commentaires aux notes ultra médiocres (sans compter ceux qui notent sans avoir pu tester le produit).. En bref.. de mon côté, je pense que ce jeu n'est pas loin de mériter la note que je lui donne - qui serait plus dans les alentours d'un bon 18.Un bon 18 parce que DICE a habilement su captivé le fan que je représente par la création d'une immersion totale sur l'ensemble de ses maps : fini les zones immenses faîtes de vides et de silence, place aux maps vivantes et ""interactives"", on a l'impression de vivre quelque chose d'important. Et à chaque lancement de partie, la claque revient; Je ne connais aucun jeu multi à l'heure actuel qui a su me donner ce genre de sensation.. Le dogfight spatial entre amis est également assez jouissif, vivement les nouvelles map's !A très vite IG",sunenjoin,20,démoder encore fois jvcom note joueurs reflète qualité jeu limpression générale dune unique fonctionnalité sans doute supprimée complètement refondue jourssemaines venir encore fois faut donc battre contre balancer commentaires note ultra médiocres sans compter ceux notent sans avoir tester produit bref côté pense jeu nest loin mériter note donne plus alentours dun bon 18un bon parce dice habilement captivé fan représente création dune immersion totale lensemble map fini zone immenses faîtes vides silence place map vivantes interactives limpression vivre quelque chose dimportant chaque lancement partie claque revient connais aucun jeu multi lheure actuel donner genre sensation dogfight spatial entre amis également assez jouissif vivement nouvelles map très vite,0.9459
5811,Star Wars : Battlefront II,PC,"20 pour un jeu vraiment super, magnifique, immersif et gargantuesque par son contenu ! 20 pour compenser les notes planchers ridicules dans la mesure où il n'y a pas de micro transaction dans ce jeu... dans la beta peut-être, mais dans la version finale, il n'y en a tout simplement pas !
Ce jeu dans sa version officielle telle qu'elle s'est présentée au public le jour de sa sortie mérite un bon 19/20. Le meilleur de tous les Star Wars ! Historique !!!",Zzapata,20,jeu vraiment super magnifique immersif gargantuesque contenu compenser note planchers ridicule mesure micro transaction jeu beta peutêtre version finale tout simplement jeu version officielle telle quelle sest présentée public jour sortie mérite bon 1920 meilleur tous star war historique,0.9041
5815,Star Wars : Battlefront II,PC,"J’ai testé la bêta, je me suis amusé et j’ai précommandé !
Acheter sur pc graphiquement magnifique ... famé plat intéressant bien loin du premier opus sur console qui m’avait laissé sur ma faim. Nouveau système de points beaucoup plus intéressant que des stupides symboles a récupérer sur la Map.
Bon le respawn a 2km de l’objectif c’est chiant mais ça va sûrement être patch",Preacher68,20,jai testé bêta amusé jai précommandé acheter graphiquement magnifique famé plat intéressant bien loin premier opus console mavait laissé faim nouveau système point beaucoup plus intéressant stupides symboles récupérer map bon respawn 2km lobjectif cest chiant sûrement être patch,0.8472
5816,Star Wars : Battlefront II,PC,"Juste pour balancer un peut je crois que EA vont améliorer le sort de ce jeu et je l espère car malgré les loot crate, je crois que le gameplay dans son ensemble est bien conçu.",deceiver90,20,juste balancer peut crois vont améliorer sort jeu espère car malgré loot crate crois gameplay ensemble bien conçyou,0.6908
5818,Star Wars : Battlefront II,PC,"Allez un petit 20 , sinon 17/20 .Le nombre de gamins sur jvc c'est affolant , plomber une note pour un système de micro-transactions qui à été supprimé , oui SUPPRIMER !!! Donc  au lieu de baver pour rien comme des veaux car oui votre avis ne changera rien , profitez et jouer ( sauf si papa ne veux pas offrir le jeux à toi kévin de 10 ans  ) . Bref ça plane pas haut .Sinon le jeu est magnifique , c'est le plus beau fps actuel en 4K sur pc et en plus HDR , beaucoup plus de contenu que le premier , des centaines d'heure à venir merci ! Enfin un jeu qui va duré dans le temps . Bande son au top , gameplay plus exigeant que le premier , solo très sympas . Les combats en vaisseaux sont ouf , c'est rapide , fluide , précis , beaucoup de maps , bref le meilleure Battlefront actuellement disponible ( sans compter celui de 2003 ) , au top !",Marleydu73,20,allez petit sinon 1720 nombre gamin jvc cest affolant plomber note système microtransactions supprimé oui supprimer donc lieu baver rien comme veaux car oui avis changera rien profitez jouer sauf papa veux offrir jeux kévin bref plane haut sinon jeu magnifique cest plus beau fps actuel plus hdr beaucoup plus contenu premier centaines dheure venir merci enfin jeu duré temp bande top gameplay plus exigeant premier solo très sympas combat vaisseaux ouf cest rapide fluide précis beaucoup map bref meilleure battlefront actuellement disponible sans compter celui 2003 top,0.8653
5824,Star Wars : Battlefront II,PC,"C'est le battlefront dont j'ai toujours rêvé, une histoire solo inédite et sympa avec une immersion sublime.
Immersion que l'on retrouve dans les combats multijoueurs également, énormément de fun et d'actions épiques.
Le bad buzz autour des micro transaction est extrêmement abusé, dans un jeu ou ca explose de partout a 20 contre 20 le quelque bonus supplémentaire que l'on a en payant ne font pas du tout la différence. De plus il est tout a fait possible d'acquérir ces bonus en jouant traditionnellement. C'est donc un petit sacrifice que je suis tout a fait pret a prendre pour avoir des dlc gratuits et fréquents qui ne diviseront pas la communauté !",Obiwan100,20,cest battlefront not jai toujours rêvé histoire solo inédite sympa immersion sublime immersion lon retrouve combat multijoueurs également énormément fun dactions épiques bad buzz autour micro transaction extrêmement abusé jeu explose partout contre quelque bonus supplémentaire lon payant font tout differentérence plus tout fait possible dacquérir bonus jouant traditionnellement cest donc petit sacrifice tout fait pret prendre avoir dlc gratuits fréquents diviseront communauté,0.939
5825,Star Wars : Battlefront II,PC,20 pour augmenter la note et contre tous ceux contre les micro transactions  .personne n'oblige a depenser de l'argent .pourquoi ne pas bloquer aussi les credits apres 3h de jeu pour ne pas penaliser ceux qui ne passent pas 15h par jour sur le jeu,Marabu,20,augmenter note contre tous ceux contre micro transaction personne noblige depenser largent pourquoi bloquer aussi credit apres jeu penaliser ceux passent 15h jour jeu,0.3182
5826,Star Wars : Battlefront II,PC,le jeux et magnifique   vraiment fidèle au film beaucoup de map plus de 10 qui représentante chaque trilogie jeux fluide beaucoup de héro mémé si il en manque y vont arriver plus tard comme obiwan palpatine la personnalisation va du vaisseau au arme au perso et au heros le jeux va vraiment beaucoup plus loin que le 1 er on efface les défaut du 1 et voila un excellent jeux le mode histoire et magnifique et prenants malgré qu’il se termine en 8 h a peut prés  les gens qui cri playtouwin on rien compris au jeux on peut se faire entre 15 et 30 mille en une journée a condition de jouer une foi a tout les mode multijoueur ferre le mode entraînement et mode arcade  ferre les défi quotidien +les défi multi que l'on débloque en jouant dans chaque mode en une journée javais déjà tout les perso en 2 jour jais eu beaucoup équipement héro et soldat les gens qui save pas lire les news du jeux qui explique comment obtenir des point facilement chaque jour me font rire et pour se qui travail ces normal qui aille moins vite que les joueur qui joue entre 5 et 8 h par jour mettre un zéro car les perso été un peut chère ou que l’histoire dure que 8 h  le jeux et baser sur le multi de base mourir ces normal ces comme un batlefield ou on s'améliore et on géré ou on se cache et on fait aucun kil et on critique le jeux les héros sont tres bien équilibre quand on a les carte héro ces pas les soldat qui vont vous tuer y faut personnaliser ces perso sinon normal que un soldat améliore tue un héro sans équipement,Pseudo supprimé,19,jeux magnifique vraiment fidèle film beaucoup map plus représentante chaque trilogie jeux fluide beaucoup héro mémé manque vont arriver plus tard comme obiwan palpatine personnalisation vaisseau arme perso hero jeux vraiment beaucoup plus loin efface défaut voila excellent jeux mode histoire magnifique prenants malgré quil termine peut prés gen cri playtouwin rien compris jeux peut faire entre mille journée condition jouer foi tout mode multijoueur ferre mode entraînement mode arcade ferre défi quotidien défi multi lon débloque jouant chaque mode journée javais déjà tout perso jour jais beaucoup équipement héro soldat gen save lira news jeux explique comment obtenir point facilement chaque jour font rire travail normal aille moins vite joueur joue entre jour mettre zéro car perso peut chère lhistoire dure jeux baser multi base mourir normal comme batlefield saméliore géré cache fait aucun kil critique jeux héros tres bien équilibre quand carte héro soldat vont tuer faut personnaliser perso sinon normal soldat améliore tue héro sans équipement,0.9925
5829,Star Wars : Battlefront II,PC,"Quand je vois le nombre de 0 juste à cause des lootbox sa me désole, juger un FPS et un JEU uniquement la dessus montre vraiment le niveau des joueurs actuel.
EA et DICE ont fournis un jeu de très grosse qualité, des graphismes a coupés le souffle.
Côté gameplay pas de grosse révolution par rapport au premiers, mais une évolution toujours sympathique.
La campagne, un peu courte mais une suite est normalement programmé, alors, un peu de patience.Mais le gros point fort, c'est le retrait de season pass et le fait que je n'ai jamais vue une communauté autant écouté sur un jeu vidéo.
Les héros sont trop chers ? Ont baissent le prix
Les microtransactions créent un déséquilibrent ? Ont les désactivent
Sans parler de tout le contenu que les joueurs veulent et qui est ajouté/modifié selon la critique
Alors quoi demandé de plus ?Ce jeu est une claque et répond à toutes mes attentes.",Shaakso,20,quand vois nombre juste because lootbox désole juger fps jeu uniquement dessus montre vraiment niveau joueurs actuel dice fournis jeu très grosse qualité graphismes coupés souffle côté gameplay grosse révolution rapport premier évolution toujours sympathique campagne peu courte suite normalement programmé alors peu patiencemais gros point fort cest retrait season pas fait nai jamais vue communauté autant écouté jeu vidéo héros trop chers baissent prix microtransactions créent déséquilibrent désactivent sans parler tout contenu joueurs veulent ajoutémodifié selon critique alors quoi demandé plus jeu claque répond toutes attentes,0.9297
5830,Star Wars : Battlefront II,PC,"Quand je vois les commentaires et notes de certaines personnes je suis mort de rire. Critiquer un jeu a cause des micros transactions alors qu'il les ont retiré ce matin et critiquer le prix des héros alors que sa a diminuer c'est vraiment chercher la petite bête  .
En ce qui concerne le jeu pour moi le début raté du 1 est oublié, dice a clairement pris en compte en compte nos critiques et  nous a sortit un jeu abouti et riche.
Point positif
-graphisme et bande sons parfaites
-beaucoup de maps,de héros,de véhicules et de blaster
-une campagne qu'on attendaient tous
-un mode arcade amusant et diversifiés
- des batailles spatiales à en couper le souffle  avec des vaisseaux rapide
- des objectif différent a chaqe Map
- un système de point qui nous retirent le système de bonus deguaullasse.
Point négatif: aucun pour moi ce jeu est parfait et vaut son prix je le conseille au fans de star wars",Redzer75019,19,quand vois commentaires note certaines personnes mort rire critiquer jeu because micros transaction alors quil retiré matin critiquer prix héros alors diminuer cest vraiment chercher petite bête concerne jeu début raté oublié dice clairement pris compte compte critique sortit jeu abouti riche point positif graphisme bande son parfaites beaucoup mapsde hérosde véhicules blaster campagne quon attendaient tous mode arcade amusant diversifiés batailles spatiales couper souffle vaisseaux rapide objectif differentérent chaqe map système point retirent système bonus deguaullasse point négatif aucun jeu parfait vaut prix conseille fan star war,0.9552
5832,Star Wars : Battlefront II,PC,pour remonter la note le jeux enfin comme il aurait du être a sa sortie !! des modes de jeux à foison un coop sympa !!! une aventure solo terrible bref très bon jeux mais maintenant !!!! pas en 2017,gbraptors2,20,remonter note jeux enfin comme être sortie mode jeux foison coop sympa aventure solo terrible bref très bon jeux maintenant 2017,0.7082
5842,Star Wars : Battlefront II,PC,"Bonsoir ,
Nous sommes sur ce jeu avec pas mal d'amis sur la Xbox One , et franchement , c'est le plus beau jeu jamais vu ! J'ai une télé 4K et la Xbox One X , et c'est presque un film ce jeu ! Il est très fluide et les armes sont un vrai bonheur . J'ai lu les critiques concernant les micro-transactions et franchement , personne n'oblige qui que ce soit à acheter quoi que ce soit sur ce jeu ! Après , je dis que ce n'est pas une si mauvaise idée ce système pour ceux qui voudraient accélérer leurs améliorations dans le jeu . Pour moi et pour pas mal de monde , Star Wars Battlefront 2 fait parti des 3 meilleurs jeux sortis ces derniers temps et c'est certainement le plus beau . Moi je vous dis amis gamers : achetez le les yeux fermés !",Wolf1970,19,bonsoir jeu mal damis xbox one franchement cest plus beau jeu jamais jai télé xbox one cest presque film jeu très fluide armes vrai bonheur jai critique concernant microtransactions franchement personne noblige acheter quoi jeu après dis nest mauvaise idée système ceux voudraient accélérer leurs améliorations jeu mal monde star war battlefront fait parti meilleurs jeux sortis derniers temp cest certainement plus beau dis amis gamers achetez yeux fermés,-0.7696
